Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),ATVs not issued ,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,ALBANIA,TIRANA,0.0,0.0,0.0,62.0,32.0,10.0,31.3,21.0,9.0,14.516129032258066,62.0,53.0,9.0,14.516129032258066
Austria,ALGERIA,ALGIERS,0.0,0.0,0.0,2481.0,1658.0,1461.0,88.1,1.0,822.0,33.13180169286578,2481.0,1659.0,822.0,33.13180169286578
Austria,ARGENTINA,BUENOS AIRES,0.0,0.0,0.0,16.0,16.0,16.0,100.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0
Austria,AUSTRALIA,CANBERRA,0.0,0.0,0.0,2776.0,2653.0,989.0,37.3,1.0,122.0,4.394812680115274,2776.0,2654.0,122.0,4.394812680115274
Austria,AZERBAIJAN,BAKU,1.0,1.0,0.0,1976.0,1895.0,1769.0,93.4,2.0,79.0,3.9979757085020244,1977.0,1898.0,79.0,3.995953464845726
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,0.0,0.0,0.0,616.0,615.0,615.0,100.0,0.0,1.0,0.16233766233766234,616.0,615.0,1.0,0.16233766233766234
Austria,BRAZIL,BRASILIA,0.0,0.0,0.0,37.0,37.0,36.0,97.3,0.0,0.0,0.0,37.0,37.0,0.0,0.0
Austria,BULGARIA,SOFIA,0.0,0.0,0.0,217.0,199.0,162.0,81.4,13.0,5.0,2.3041474654377883,217.0,212.0,5.0,2.3041474654377883
Austria,CANADA,OTTAWA,0.0,0.0,0.0,686.0,659.0,107.0,16.2,1.0,26.0,3.7900874635568513,686.0,660.0,26.0,3.7900874635568513
Austria,CHILE,SANTIAGO DE CHILE,0.0,0.0,0.0,22.0,22.0,17.0,77.3,0.0,0.0,0.0,22.0,22.0,0.0,0.0
Austria,CHINA,BEIJING,1.0,1.0,0.0,36365.0,35764.0,1125.0,3.1,4.0,597.0,1.6416884366836244,36366.0,35769.0,597.0,1.6416432931859428
Austria,CHINA,SHANGHAI,0.0,0.0,0.0,45037.0,44636.0,3442.0,7.7,0.0,401.0,0.8903790216932744,45037.0,44636.0,401.0,0.8903790216932744
Austria,COLOMBIA,BOGOTA,0.0,0.0,0.0,19.0,16.0,16.0,100.0,0.0,3.0,15.789473684210526,19.0,16.0,3.0,15.789473684210526
Austria,CROATIA,ZAGREB,0.0,0.0,0.0,261.0,224.0,235.0,104.9,23.0,14.0,5.363984674329502,261.0,247.0,14.0,5.363984674329502
Austria,CUBA,HAVANA,0.0,0.0,0.0,521.0,490.0,128.0,26.1,0.0,31.0,5.950095969289827,521.0,490.0,31.0,5.950095969289827
Austria,CYPRUS,NICOSIA,0.0,0.0,0.0,494.0,485.0,332.0,68.5,4.0,5.0,1.0121457489878543,494.0,489.0,5.0,1.0121457489878543
Austria,EGYPT,CAIRO,0.0,0.0,0.0,4993.0,4132.0,2872.0,69.5,39.0,822.0,16.463048267574603,4993.0,4171.0,822.0,16.463048267574603
Austria,ETHIOPIA,ADDIS ABEBA,0.0,0.0,0.0,670.0,638.0,108.0,16.9,9.0,23.0,3.4328358208955225,670.0,647.0,23.0,3.4328358208955225
