Schengen State,Country where consulate is located,Consulate,ATVs applied, ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"uniform visas issued including MEVs
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
Austria,ALBANIA,TIRANA,,,,,,62,32,10,31.30%,21,9,14.50%,62,53,9,14.50%
Austria,ALGERIA,ALGIERS,,,,,,2481,1658,1461,88.10%,1,822,33.10%,"2,481","1,659",822,33.10%
Austria,ARGENTINA,BUENOS AIRES,,,,,,16,16,16,100.00%,,,,16,16,,
Austria,AUSTRALIA,CANBERRA,,,,,,2776,2653,989,37.30%,1,122,4.40%,"2,776","2,654",122,4.40%
Austria,AZERBAIJAN,BAKU,1,1,1,,,1976,1895,1769,93.40%,2,79,4.00%,"1,977","1,898",79,4.00%
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,616,615,615,100.00%,,1,0.20%,616,615,1,0.20%
Austria,BRAZIL,BRASILIA,,,,,,37,37,36,97.30%,,,,37,37,,
Austria,BULGARIA,SOFIA,,,,,,217,199,162,81.40%,13,5,2.30%,217,212,5,2.30%
Austria,CANADA,OTTAWA,,,,,,686,659,107,16.20%,1,26,3.80%,686,660,26,3.80%
Austria,CHILE,SANTIAGO DE CHILE,,,,,,22,22,17,77.30%,,,,22,22,,
Austria,CHINA,BEIJING,1,1,,,,36365,35764,1125,3.10%,4,597,1.60%,"36,366","35,769",597,1.60%
Austria,CHINA,SHANGHAI,,,,,,45037,44636,3442,7.70%,,401,0.90%,"45,037","44,636",401,0.90%
Austria,COLOMBIA,BOGOTA,,,,,,19,16,16,100.00%,,3,15.80%,19,16,3,15.80%
Austria,CROATIA,ZAGREB,,,,,,261,224,235,104.90%,23,14,5.40%,261,247,14,5.40%
Austria,CUBA,HAVANA,,,,,,521,490,128,26.10%,,31,6.00%,521,490,31,6.00%
Austria,CYPRUS,NICOSIA,,,,,,494,485,332,68.50%,4,5,1.00%,494,489,5,1.00%
Austria,EGYPT,CAIRO,,,,,,4993,4132,2872,69.50%,39,822,16.50%,"4,993","4,171",822,16.50%
Austria,ETHIOPIA,ADDIS ABEBA,,,,,,670,638,108,16.90%,9,23,3.40%,670,647,23,3.40%
Austria,GERMANY,MUNICH,,,,,,111,106,96,90.60%,3,2,1.80%,111,109,2,1.80%
Austria,HONG KONG S.A.R.,HONG KONG,,,,,,495,493,98,19.90%,,2,0.40%,495,493,2,0.40%
Austria,INDIA,NEW DELHI,,,,,,36820,34792,34812,100.10%,26,2002,5.40%,"36,820","34,818","2,002",5.40%
Austria,INDONESIA,JAKARTA,,,,,,6345,6325,668,10.60%,,20,0.30%,"6,345","6,325",20,0.30%
Austria,IRAN,TEHERAN,,,,,,9179,5327,1051,19.70%,160,3692,40.20%,"9,179","5,487","3,692",40.20%
Austria,IRELAND,DUBLIN,,,,,,575,574,121,21.10%,,1,0.20%,575,574,1,0.20%
Austria,ISRAEL,TEL AVIV,1,1,,,,641,592,127,21.50%,3,46,7.20%,642,596,46,7.20%
Austria,JAPAN,TOKYO,,,,,,543,543,38,7.00%,,,,543,543,,
Austria,JORDAN,AMMAN,1,1,,,,3779,3232,984,30.40%,32,515,13.60%,"3,780","3,265",515,13.60%
Austria,KAZAKHSTAN,ASTANA,1,1,,,,6698,6559,683,10.40%,2,137,2.00%,"6,699","6,562",137,2.00%
Austria,KENYA,NAIROBI,,,,,,1390,1131,152,13.40%,6,253,18.20%,"1,390","1,137",253,18.20%
Austria,KUWAIT,KUWAIT,,,,,,10502,9933,8865,89.20%,189,380,3.60%,"10,502","10,122",380,3.60%
Austria,LEBANON,BEIRUT,,,,,,3007,2842,921,32.40%,26,139,4.60%,"3,007","2,868",139,4.60%
Austria,MALAYSIA,KUALA LUMPUR,,,,,,653,604,197,32.60%,,49,7.50%,653,604,49,7.50%
Austria,MEXICO,MEXICO CITY,,,,,,38,38,38,100.00%,,,,38,38,,
Austria,MOROCCO,RABAT,,,,,,984,632,152,24.10%,2,350,35.60%,984,634,350,35.60%
Austria,NIGERIA,ABUJA,,,,,,1933,950,147,15.50%,90,893,46.20%,"1,933","1,040",893,46.20%
Austria,NORTH MACEDONIA,SKOPJE,,,,,,1274,15,922,6146.70%,918,341,26.80%,"1,274",933,341,26.80%
Austria,PAKISTAN,ISLAMABAD,,,,,,1179,626,78,12.50%,1,552,46.80%,"1,179",627,552,46.80%
Austria,PERU,LIMA,,,,,,12,12,12,100.00%,,,,12,12,,
Austria,PHILIPPINES,MANILA,,,,,,4601,4224,4224,100.00%,,377,8.20%,"4,601","4,224",377,8.20%
Austria,ROMANIA,BUCHAREST,,,,,,256,237,69,29.10%,,19,7.40%,256,237,19,7.40%
Austria,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,40262,39429,29637,75.20%,136,697,1.70%,"40,263","39,566",697,1.70%
Austria,SAUDI ARABIA,RIYADH,1,1,1,,,13244,9179,12148,132.30%,3713,352,2.70%,"13,245","12,893",352,2.70%
Austria,SENEGAL,DAKAR,,,,,,1157,535,126,23.60%,,622,53.80%,"1,157",535,622,53.80%
Austria,SERBIA,BELGRADE,,,,,,540,519,421,81.10%,,21,3.90%,540,519,21,3.90%
Austria,SLOVAKIA,BRATISLAVA,,,,,,33,31,27,87.10%,1,1,3.00%,33,32,1,3.00%
Austria,SLOVENIA,LJUBLJANA,,,,,,25,25,25,100.00%,,,,25,25,,
Austria,SOUTH AFRICA,PRETORIA,3,3,3,,,6412,5615,6255,111.40%,668,129,2.00%,"6,415","6,286",129,2.00%
Austria,SOUTH KOREA,SEOUL,,,,,,188,183,172,94.00%,,5,2.70%,188,183,5,2.70%
Austria,SYRIA,DAMASCUS,,,,,,231,222,61,27.50%,9,,,231,231,,
Austria,TAIWAN,TAIPEI,,,,,,154,150,143,95.30%,,4,2.60%,154,150,4,2.60%
Austria,THAILAND,BANGKOK,,,,,,21487,21174,21173,100.00%,,313,1.50%,"21,487","21,174",313,1.50%
Austria,TUNISIA,TUNIS,,,,,,1947,1415,619,43.70%,2,530,27.20%,"1,947","1,417",530,27.20%
Austria,TURKEY,ANKARA,1,1,,,,5308,5300,562,10.60%,2,6,0.10%,"5,309","5,303",6,0.10%
Austria,TURKEY,ISTANBUL,,,,,,13202,10813,7983,73.80%,7,2382,18.00%,"13,202","10,820","2,382",18.00%
Austria,UKRAINE,KYIV,1,1,,,,1697,1640,1092,66.60%,4,53,3.10%,"1,698","1,645",53,3.10%
Austria,UNITED ARAB EMIRATES,ABU DHABI,1,1,,,,4612,3707,2723,73.50%,30,875,19.00%,"4,613","3,738",875,19.00%
Austria,UNITED KINGDOM,LONDON,1,1,,,,3162,2940,1401,47.70%,34,188,5.90%,"3,163","2,975",188,5.90%
Austria,USA,"LOS ANGELES, CA",,,,,,738,711,709,99.70%,,27,3.70%,738,711,27,3.70%
Austria,USA,"NEW YORK, NY",,,,,,1007,950,628,66.10%,2,55,5.50%,"1,007",952,55,5.50%
Austria,USA,"WASHINGTON, DC",,,,,,474,460,460,100.00%,2,12,2.50%,474,462,12,2.50%
Austria,VENEZUELA,CARACAS,,,,,,4,4,2,50.00%,,,,4,4,,
Austria,VIETNAM,HANOI,,,,,,1985,1887,640,33.90%,2,96,4.80%,"1,985","1,889",96,4.80%
Belgium,ALGERIA,ALGIERS,,,,,,6901,3802,2007,52.80%,307,2480,35.90%,"6,901","4,109","2,480",35.90%
Belgium,ANGOLA,LUANDA,2,,,,,1909,1045,554,53.00%,1,788,41.30%,"1,911","1,046",788,41.20%
Belgium,ARGENTINA,BUENOS AIRES,,,,,,12,10,6,60.00%,,,,12,10,,
Belgium,AUSTRALIA,CANBERRA,,,,,,260,231,75,32.50%,,7,2.70%,260,231,7,2.70%
Belgium,AUSTRIA,VIENNA,,,,,,1,1,1,100.00%,,,,1,1,,
Belgium,BELGIUM,BRUSSELS,,,,,,26,23,10,43.50%,,,,26,23,,
Belgium,BRAZIL,SAO PAULO,,,,,,38,23,16,69.60%,,7,18.40%,38,23,7,18.40%
Belgium,BULGARIA,SOFIA,,,,,,83,72,38,52.80%,,4,4.80%,83,72,4,4.80%
Belgium,BURKINA FASO,OUAGADOUGOU,,,,,,2790,2064,906,43.90%,1,550,19.70%,"2,790","2,065",550,19.70%
Belgium,BURUNDI,BUJUMBURA,,,,,,3547,2320,323,13.90%,4,796,22.40%,"3,547","2,324",796,22.40%
Belgium,CAMEROON,YAONDE,1,,,,,4349,2493,967,38.80%,,1540,35.40%,"4,350","2,493","1,540",35.40%
Belgium,CANADA,MONTREAL,,,,,,750,519,96,18.50%,5,138,18.40%,750,524,138,18.40%
Belgium,CHILE,SANTIAGO DE CHILE,,,,,,68,44,32,72.70%,1,9,13.20%,68,45,9,13.20%
Belgium,CHINA,BEIJING,,,,,,26525,25595,10276,40.10%,4,777,2.90%,"26,525","25,599",777,2.90%
Belgium,CHINA,GUANGZHOU (CANTON),,,,,,5685,5476,1236,22.60%,,192,3.40%,"5,685","5,476",192,3.40%
Belgium,CHINA,SHANGHAI,2,1,,1,50.00%,7365,7045,2224,31.60%,,225,3.10%,"7,367","7,046",226,3.10%
Belgium,COLOMBIA,BOGOTA,,,,,,16,14,12,85.70%,,,,16,14,,
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2,1,,,,2289,1634,482,29.50%,,1643,71.80%,"2,291","1,635","1,643",71.70%
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,,,,,,83,59,16,27.10%,,72,86.70%,83,59,72,86.70%
Belgium,COTE D'IVOIRE,ABIDJAN ,1,,,,,2688,1624,705,43.40%,,984,36.60%,"2,689","1,624",984,36.60%
Belgium,CROATIA,ZAGREB,,,,,,21,16,8,50.00%,,2,9.50%,21,16,2,9.50%
Belgium,CUBA,HAVANA,,,,,,1414,1127,1038,92.10%,1,174,12.30%,"1,414","1,128",174,12.30%
Belgium,CZECH REPUBLIC,PRAGUE,,,,,,1,,,,,1,100.00%,1,,1,100.00%
Belgium,EGYPT,CAIRO,,,,,,3250,1946,464,23.80%,15,1111,34.20%,"3,250","1,961","1,111",34.20%
Belgium,ETHIOPIA,ADDIS ABEBA,,,,,,1132,858,450,52.40%,28,149,13.20%,"1,132",886,149,13.20%
Belgium,FINLAND,HELSINKI,,,,,,5,4,1,25.00%,,,,5,4,,
Belgium,FRANCE,PARIS,,,,,,7,5,2,40.00%,1,,,7,6,,
Belgium,GERMANY,BERLIN,,,,,,4,3,2,66.70%,,1,25.00%,4,3,1,25.00%
Belgium,GREECE,ATHENS,,,,,,9,7,3,42.90%,1,,,9,8,,
Belgium,HONG KONG S.A.R.,HONG KONG,,,,,,622,588,420,71.40%,,23,3.70%,622,588,23,3.70%
Belgium,HUNGARY,BUDAPEST,,,,,,4,3,2,66.70%,1,,,4,4,,
Belgium,INDIA,MUMBAI,,,,,,19162,18360,15892,86.60%,,551,2.90%,"19,162","18,360",551,2.90%
Belgium,INDIA,NEW DELHI,,,,,,7117,6052,4029,66.60%,,888,12.50%,"7,117","6,052",888,12.50%
Belgium,INDONESIA,JAKARTA,,,,,,238,224,72,32.10%,,2,0.80%,238,224,2,0.80%
Belgium,IRAN,TEHERAN,3,,,,,6306,3860,796,20.60%,139,1883,29.90%,"6,309","3,999","1,883",29.80%
Belgium,IRELAND,DUBLIN,,,,,,763,682,264,38.70%,,10,1.30%,763,682,10,1.30%
Belgium,ISRAEL,JERUSALEM,,,,,,760,429,76,17.70%,19,267,35.10%,760,448,267,35.10%
Belgium,ISRAEL,TEL AVIV,1,2,,,,97,86,42,48.80%,,12,12.40%,98,88,12,12.20%
Belgium,ITALY,ROME,,,,,,3,3,2,66.70%,,,,3,3,,
Belgium,JAMAICA,KINGSTON,,,,,,1083,885,312,35.30%,,70,6.50%,"1,083",885,70,6.50%
Belgium,JAPAN,TOKYO,,,,,,338,311,183,58.80%,,15,4.40%,338,311,15,4.40%
Belgium,JORDAN,AMMAN,,,,,,1903,1168,441,37.80%,39,267,14.00%,"1,903","1,207",267,14.00%
Belgium,KENYA,NAIROBI,,,,,,1651,1301,511,39.30%,42,208,12.60%,"1,651","1,343",208,12.60%
Belgium,KUWAIT,KUWAIT,,,,,,2177,1901,1642,86.40%,24,183,8.40%,"2,177","1,925",183,8.40%
Belgium,LEBANON,BEIRUT,,,,,,3314,2175,728,33.50%,25,920,27.80%,"3,314","2,200",920,27.80%
Belgium,MALAYSIA,KUALA LUMPUR,,,,,,127,116,35,30.20%,,18,14.20%,127,116,18,14.20%
Belgium,MEXICO,MEXICO CITY,,,,,,56,51,35,68.60%,,,,56,51,,
Belgium,MOROCCO,CASABLANCA,,,,,,12889,5809,3066,52.80%,3,6111,47.40%,"12,889","5,812","6,111",47.40%
Belgium,MOROCCO,RABAT,,,,,,567,513,483,94.20%,15,3,0.50%,567,528,3,0.50%
Belgium,NETHERLANDS,THE HAGUE,,,,,,9,5,3,60.00%,,3,33.30%,9,5,3,33.30%
Belgium,NIGERIA,ABUJA,11,,,11,100.00%,3827,1898,1519,80.00%,77,1756,45.90%,"3,838","1,975","1,767",46.00%
Belgium,PAKISTAN,ISLAMABAD,,,,,,2813,1177,225,19.10%,34,1354,48.10%,"2,813","1,211","1,354",48.10%
Belgium,PANAMA,PANAMA CITY,,,,,,11,8,4,50.00%,,3,27.30%,11,8,3,27.30%
Belgium,PERU,LIMA,,,,,,107,89,58,65.20%,1,11,10.30%,107,90,11,10.30%
Belgium,PHILIPPINES,MANILA,,,,,,5882,5261,2322,44.10%,3,501,8.50%,"5,882","5,264",501,8.50%
Belgium,POLAND,WARSAW,,,,,,10,5,1,20.00%,,3,30.00%,10,5,3,30.00%
Belgium,PORTUGAL,LISBON,,,,,,5,5,,,,,,5,5,,
Belgium,QATAR,DOHA,,,,,,1320,1132,742,65.50%,5,103,7.80%,"1,320","1,137",103,7.80%
Belgium,ROMANIA,BUCHAREST,,,,,,85,63,31,49.20%,1,20,23.50%,85,64,20,23.50%
Belgium,RUSSIAN FEDERATION,MOSCOW,,,,,,13859,13213,7793,59.00%,21,465,3.40%,"13,859","13,234",465,3.40%
Belgium,RWANDA,KIGALI,5,,,,,9185,7056,1960,27.80%,4,1712,18.60%,"9,190","7,060","1,712",18.60%
Belgium,SAUDI ARABIA,RIYADH,,,,,,1834,1509,905,60.00%,27,255,13.90%,"1,834","1,536",255,13.90%
Belgium,SENEGAL,DAKAR,2,,,,,3431,1379,468,33.90%,,1890,55.10%,"3,433","1,379","1,890",55.10%
Belgium,SERBIA,BELGRADE,,,,,,53,42,35,83.30%,,9,17.00%,53,42,9,17.00%
Belgium,SINGAPORE,SINGAPORE,,,,,,915,888,347,39.10%,,5,0.50%,915,888,5,0.50%
Belgium,SOUTH AFRICA,CAPE TOWN,,,,,,1812,1750,1591,90.90%,,39,2.20%,"1,812","1,750",39,2.20%
Belgium,SOUTH AFRICA,JOHANNESBURG,,,,,,3745,3512,2009,57.20%,2,173,4.60%,"3,745","3,514",173,4.60%
Belgium,SOUTH KOREA,SEOUL,,,,,,126,90,21,23.30%,,34,27.00%,126,90,34,27.00%
Belgium,SPAIN,MADRID,,,,,,63,57,13,22.80%,1,6,9.50%,63,58,6,9.50%
Belgium,SWITZERLAND,BERN,,,,,,6,3,1,33.30%,,,,6,3,,
Belgium,TAIWAN,TAIPEI,,,,,,45,38,37,97.40%,,1,2.20%,45,38,1,2.20%
Belgium,TANZANIA,DAR ES SALAAM,,,,,,807,715,94,13.10%,,56,6.90%,807,715,56,6.90%
Belgium,THAILAND,BANGKOK,,,,,,5938,5369,660,12.30%,2,513,8.60%,"5,938","5,371",513,8.60%
Belgium,TUNISIA,TUNIS,,,,,,3655,2442,1113,45.60%,32,1113,30.50%,"3,655","2,474","1,113",30.50%
Belgium,TURKEY,ANKARA,,,,,,1882,1137,336,29.60%,1,1097,58.30%,"1,882","1,138","1,097",58.30%
Belgium,TURKEY,ISTANBUL,,,,,,8465,6313,3575,56.60%,2,1200,14.20%,"8,465","6,315","1,200",14.20%
Belgium,UGANDA,KAMPALA,,,,,,905,736,317,43.10%,,114,12.60%,905,736,114,12.60%
Belgium,UKRAINE,KYIV,,,,,,499,434,234,53.90%,,38,7.60%,499,434,38,7.60%
Belgium,UNITED ARAB EMIRATES,ABU DHABI,,,,,,4372,3363,2747,81.70%,1,759,17.40%,"4,372","3,364",759,17.40%
Belgium,UNITED KINGDOM,LONDON,1,,,,,7128,6138,3949,64.30%,4,353,5.00%,"7,129","6,142",353,5.00%
Belgium,USA,"ATLANTA, GA",2,1,,,,673,581,145,25.00%,,2,0.30%,675,582,2,0.30%
Belgium,USA,"LOS ANGELES, CA",,,,,,1238,1211,337,27.80%,1,1,0.10%,"1,238","1,212",1,0.10%
Belgium,USA,"NEW YORK, NY",,,,,,1852,914,343,37.50%,,11,0.60%,"1,852",914,11,0.60%
