sch_state,consulate_country,consulate_city,applications,uniform_visas_issued,mevs_issued,mevs_share,rejected,rejection_rate,decisions
Austria,ALBANIA,TIRANA,41.0,32.0,10,31.30%,9.0,0.21951219512195122,41.0
Austria,ALGERIA,ALGIERS,2480.0,1658.0,1461,88.10%,822.0,0.33145161290322583,2480.0
Austria,ARGENTINA,BUENOS AIRES,16.0,16.0,16,100.00%,0.0,0.0,16.0
Austria,AUSTRALIA,CANBERRA,2775.0,2653.0,989,37.30%,122.0,0.043963963963963966,2775.0
Austria,AZERBAIJAN,BAKU,1974.0,1895.0,1769,93.40%,79.0,0.04002026342451875,1974.0
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,616.0,615.0,615,100.00%,1.0,0.0016233766233766235,616.0
Austria,BRAZIL,BRASILIA,37.0,37.0,36,97.30%,0.0,0.0,37.0
Austria,BULGARIA,SOFIA,204.0,199.0,162,81.40%,5.0,0.024509803921568627,204.0
Austria,CANADA,OTTAWA,685.0,659.0,107,16.20%,26.0,0.03795620437956204,685.0
Austria,CHILE,SANTIAGO DE CHILE,22.0,22.0,17,77.30%,0.0,0.0,22.0
Austria,CHINA,BEIJING,36361.0,35764.0,1125,3.10%,597.0,0.016418690355050742,36361.0
Austria,CHINA,SHANGHAI,45037.0,44636.0,3442,7.70%,401.0,0.008903790216932744,45037.0
Austria,COLOMBIA,BOGOTA,19.0,16.0,16,100.00%,3.0,0.15789473684210525,19.0
Austria,CROATIA,ZAGREB,238.0,224.0,235,104.90%,14.0,0.058823529411764705,238.0
Austria,CUBA,HAVANA,521.0,490.0,128,26.10%,31.0,0.05950095969289827,521.0
Austria,CYPRUS,NICOSIA,490.0,485.0,332,68.50%,5.0,0.01020408163265306,490.0
Austria,EGYPT,CAIRO,4954.0,4132.0,2872,69.50%,822.0,0.16592652402099314,4954.0
Austria,ETHIOPIA,ADDIS ABEBA,661.0,638.0,108,16.90%,23.0,0.03479576399394856,661.0
Austria,GERMANY,MUNICH,108.0,106.0,96,90.60%,2.0,0.018518518518518517,108.0
Austria,HONG KONG S.A.R.,HONG KONG,495.0,493.0,98,19.90%,2.0,0.00404040404040404,495.0
Austria,INDIA,NEW DELHI,36794.0,34792.0,34812,100.10%,2002.0,0.0544110452791216,36794.0
Austria,INDONESIA,JAKARTA,6345.0,6325.0,668,10.60%,20.0,0.0031520882584712374,6345.0
Austria,IRAN,TEHERAN,9019.0,5327.0,1051,19.70%,3692.0,0.4093580219536534,9019.0
Austria,IRELAND,DUBLIN,575.0,574.0,121,21.10%,1.0,0.0017391304347826088,575.0
Austria,ISRAEL,TEL AVIV,638.0,592.0,127,21.50%,46.0,0.07210031347962383,638.0
Austria,JAPAN,TOKYO,543.0,543.0,38,7.00%,0.0,0.0,543.0
Austria,JORDAN,AMMAN,3747.0,3232.0,984,30.40%,515.0,0.1374432879637043,3747.0
Austria,KAZAKHSTAN,ASTANA,6696.0,6559.0,683,10.40%,137.0,0.020459976105137397,6696.0
Austria,KENYA,NAIROBI,1384.0,1131.0,152,13.40%,253.0,0.18280346820809248,1384.0
Austria,KUWAIT,KUWAIT,10313.0,9933.0,8865,89.20%,380.0,0.036846698341898576,10313.0
Austria,LEBANON,BEIRUT,2981.0,2842.0,921,32.40%,139.0,0.04662864810466286,2981.0
Austria,MALAYSIA,KUALA LUMPUR,653.0,604.0,197,32.60%,49.0,0.07503828483920368,653.0
Austria,MEXICO,MEXICO CITY,38.0,38.0,38,100.00%,0.0,0.0,38.0
Austria,MOROCCO,RABAT,982.0,632.0,152,24.10%,350.0,0.3564154786150713,982.0
Austria,NIGERIA,ABUJA,1843.0,950.0,147,15.50%,893.0,0.4845360824742268,1843.0
Austria,NORTH MACEDONIA,SKOPJE,356.0,15.0,922,6146.70%,341.0,0.9578651685393258,356.0
Austria,PAKISTAN,ISLAMABAD,1178.0,626.0,78,12.50%,552.0,0.4685908319185059,1178.0
Austria,PERU,LIMA,12.0,12.0,12,100.00%,0.0,0.0,12.0
Austria,PHILIPPINES,MANILA,4601.0,4224.0,4224,100.00%,377.0,0.0819387089763095,4601.0
Austria,ROMANIA,BUCHAREST,256.0,237.0,69,29.10%,19.0,0.07421875,256.0
Austria,RUSSIAN FEDERATION,MOSCOW,40126.0,39429.0,29637,75.20%,697.0,0.017370283606639086,40126.0
Austria,SAUDI ARABIA,RIYADH,9531.0,9179.0,12148,132.30%,352.0,0.036932116252229565,9531.0
Austria,SENEGAL,DAKAR,1157.0,535.0,126,23.60%,622.0,0.5375972342264477,1157.0
Austria,SERBIA,BELGRADE,540.0,519.0,421,81.10%,21.0,0.03888888888888889,540.0
Austria,SLOVAKIA,BRATISLAVA,32.0,31.0,27,87.10%,1.0,0.03125,32.0
Austria,SLOVENIA,LJUBLJANA,25.0,25.0,25,100.00%,0.0,0.0,25.0
Austria,SOUTH AFRICA,PRETORIA,5744.0,5615.0,6255,111.40%,129.0,0.022458217270194987,5744.0
Austria,SOUTH KOREA,SEOUL,188.0,183.0,172,94.00%,5.0,0.026595744680851064,188.0
Austria,SYRIA,DAMASCUS,222.0,222.0,61,27.50%,0.0,0.0,222.0
Austria,TAIWAN,TAIPEI,154.0,150.0,143,95.30%,4.0,0.025974025974025976,154.0
